id,name
269,Neptune Av
270,W 8 St-NY Aquarium
271,21 St
272,Greenpoint Av
273,Nassau Av
274,Metropolitan Av
275,Broadway
276,Flushing Av
277,Myrtle Willoughby Avs
278,Bedford-Nostrand Avs
279,Classon Av
280,4 Av-9 Sts
281,121 St
282,Woodhaven Blvd
283,85 St-Forest Pkwy
284,75 St-Elderts Ln
285,Cypress Hills
286,Crescent St
287,Norwood Av
288,Cleveland St
289,Alabama Av
290,Chauncey St
291,Halsey St
292,Gates Av
293,Kosciuszko St
294,Myrtle Av
295,Lorimer St
296,Hewes St
297,Marcy Av
298,Bowery
299,Broad St
300,8 Av
301,6 Av
302,3 Av
303,1 Av
304,Bedford Av
305,Graham Av
306,Montrose Av
307,Morgan Av
308,Jefferson St
309,Myrtle-Wyckoff Avs
310,Wilson Av
311,Bushwick Av-Aberdeen St
312,Atlantic Av
313,Sutter Av
314,Livonia Av
315,East 105 St
316,Canarsie-Rockaway Pkwy
317,67 Av
318,63 Dr-Rego Park
319,Grand Av-Newtown
320,Elmhurst Av
321,65 St
322,Northern Blvd
323,46 St
324,Steinway St
325,Central Av
326,Knickerbocker Av
327,Seneca Av
328,Forest Av
329,Fresh Pond Rd
330,Middle Village-Metropolitan Av
331,Astoria Ditmars Blvd
332,Astoria Blvd
333,30 Av
334,36 Av
335,39 Av
336,Lexington Av/59 St
337,5 Av/59 St
338,57 St-7 Av
339,49 St
340,New Utrecht Av
341,Parkside Av
342,Cortelyou Rd
343,Avenue H
344,Avenue J
345,Avenue M
346,Neck Rd
347,Ocean Pkwy
348,Grand Av
349,34 St-Herald Square
350,8 St-NYU
351,Prince St
352,City Hall
353,Cortlandt St
354,Whitehall St-South Ferry
355,Court St
356,Union St
357,25 St
358,45 St
359,53 St
360,Bay Ridge Av
361,Bay Ridge-95 St
362,Botanic Garden
363,Astoria-Ditmars Blvd
364,57-7 Av
365,Delancey St Essex St
